"timestamp","rtp_total_packet_count","rtp_interval_packets","rtp_total_packet_loss","rtp_interval_packet_loss","rtp_total_packet_out_of_order","rtp_interval_packets_out_of_order","jitter_buffer_delay"
"2014-06-12T16:46:08.658Z",3246156,285,4,0,0,0,2
"2014-06-12T16:46:15.009Z",3246473,317,4,0,0,0,1
"2014-06-12T16:46:18.510Z",3246648,175,4,0,0,0,1
"2014-06-12T16:46:21.520Z",3246799,151,4,0,0,0,2
"2014-06-12T16:46:29.011Z",3247173,374,4,0,0,0,1
"2014-06-12T16:46:31.841Z",3247315,142,4,0,0,0,1
"2014-06-12T16:46:37.651Z",3247605,290,4,0,0,0,2
"2014-06-12T16:46:42.201Z",3247833,228,4,0,0,0,1
"2014-06-12T16:46:48.952Z",3248170,337,4,0,0,0,1
"2014-06-12T16:46:53.041Z",3248375,205,4,0,0,0,1
"2014-06-12T16:46:58.971Z",3248671,296,4,0,0,0,2
"2014-06-12T16:47:05.052Z",3248975,304,4,0,0,0,1
"2014-06-12T16:47:09.472Z",3249196,221,4,0,0,0,1
"2014-06-12T16:47:14.981Z",3249472,276,4,0,0,0,1
"2014-06-12T16:47:18.694Z",3249657,185,4,0,0,0,1
"2014-06-12T16:47:25.334Z",3249989,332,4,0,0,0,2
"2014-06-12T16:47:31.423Z",3250294,305,4,0,0,0,2
"2014-06-12T16:47:37.922Z",3250619,325,4,0,0,0,1
"2014-06-12T16:47:43.293Z",3250887,268,4,0,0,0,1
"2014-06-12T16:47:49.042Z",3251175,288,4,0,0,0,2
"2014-06-12T16:47:56.014Z",3251523,348,4,0,0,0,1
"2014-06-12T16:48:00.974Z",3251771,248,4,0,0,0,1
"2014-06-12T16:48:06.416Z",3252043,272,4,0,0,0,1
"2014-06-12T16:48:09.596Z",3252202,159,4,0,0,0,1
"2014-06-12T16:48:16.049Z",3252525,323,4,0,0,0,2
"2014-06-12T16:48:19.718Z",3252708,183,4,0,0,0,2
"2014-06-12T16:48:27.006Z",3253073,365,4,0,0,0,1
"2014-06-12T16:48:34.418Z",3253444,371,4,0,0,0,2
"2014-06-12T16:48:39.268Z",3253686,242,4,0,0,0,1
"2014-06-12T16:48:44.150Z",3253930,244,4,0,0,0,1
"2014-06-12T16:48:51.190Z",3254282,352,4,0,0,0,2
"2014-06-12T16:48:54.203Z",3254433,151,4,0,0,0,2
"2014-06-12T16:48:57.923Z",3254619,186,4,0,0,0,1
"2014-06-12T16:49:00.944Z",3254770,151,4,0,0,0,1
"2014-06-12T16:49:04.444Z",3254945,175,4,0,0,0,1
"2014-06-12T16:49:08.134Z",3255129,184,4,0,0,0,1
"2014-06-12T16:49:11.475Z",3255296,167,4,0,0,0,1
"2014-06-12T16:49:18.265Z",3255636,340,4,0,0,0,1
"2014-06-12T16:49:23.986Z",3255922,286,4,0,0,0,2
"2014-06-12T16:49:26.565Z",3256051,129,4,0,0,0,1
"2014-06-12T16:49:29.936Z",3256219,168,4,0,0,0,1
"2014-06-12T16:49:34.076Z",3256426,207,4,0,0,0,1
"2014-06-12T16:49:40.219Z",3256734,308,4,0,0,0,2
"2014-06-12T16:49:45.491Z",3256997,263,4,0,0,0,1
"2014-06-12T16:49:52.620Z",3257354,357,4,0,0,0,2
"2014-06-12T16:49:59.951Z",3257720,366,4,0,0,0,1
"2014-06-12T16:50:04.351Z",3257940,220,4,0,0,0,1
"2014-06-12T16:50:10.060Z",3258226,286,4,0,0,0,1
"2014-06-12T16:50:16.381Z",3258542,316,4,0,0,0,1
"2014-06-12T16:50:23.642Z",3258905,363,4,0,0,0,1
"2014-06-12T16:50:27.582Z",3259102,197,4,0,0,0,1
"2014-06-12T16:50:33.362Z",3259391,289,4,0,0,0,1
"2014-06-12T16:50:38.063Z",3259626,235,4,0,0,0,1
"2014-06-12T16:50:44.924Z",3259969,343,4,0,0,0,1
"2014-06-12T16:50:51.365Z",3260291,322,4,0,0,0,1
"2014-06-12T16:50:55.005Z",3260473,182,4,0,0,0,1
"2014-06-12T16:50:58.026Z",3260624,151,4,0,0,0,2
"2014-06-12T16:51:04.246Z",3260935,311,4,0,0,0,1
"2014-06-12T16:51:07.786Z",3261112,177,4,0,0,0,1
"2014-06-12T16:51:13.136Z",3261379,267,4,0,0,0,1
"2014-06-12T16:51:16.726Z",3261559,180,4,0,0,0,2
"2014-06-12T16:51:19.785Z",3261712,153,4,0,0,0,2
"2014-06-12T16:51:25.628Z",3262004,292,4,0,0,0,1
"2014-06-12T16:51:30.420Z",3262243,239,4,0,0,0,1
"2014-06-12T16:51:33.990Z",3262422,179,4,0,0,0,2
"2014-06-12T16:51:40.821Z",3262764,342,4,0,0,0,1
"2014-06-12T16:51:46.780Z",3263062,298,4,0,0,0,1
"2014-06-12T16:51:51.170Z",3263281,219,4,0,0,0,1
"2014-06-12T16:51:57.273Z",3263586,305,4,0,0,0,1
"2014-06-12T16:52:01.443Z",3263795,209,4,0,0,0,2
"2014-06-12T16:52:05.904Z",3264018,223,4,0,0,0,1
"2014-06-12T16:52:12.866Z",3264366,348,4,0,0,0,1
"2014-06-12T16:52:18.657Z",3264655,289,4,0,0,0,1
"2014-06-12T16:52:21.738Z",3264810,155,4,0,0,0,1
"2014-06-12T16:52:26.460Z",3265046,236,4,0,0,0,1
"2014-06-12T16:52:31.870Z",3265316,270,4,0,0,0,1
"2014-06-12T16:52:34.769Z",3265461,145,4,0,0,0,1
"2014-06-12T16:52:41.370Z",3265791,330,4,0,0,0,1
"2014-06-12T16:52:44.969Z",3265971,180,4,0,0,0,1
"2014-06-12T16:52:51.669Z",3266306,335,4,0,0,0,1
"2014-06-12T16:52:58.019Z",3266624,318,4,0,0,0,1
"2014-06-12T16:53:03.049Z",3266875,251,4,0,0,0,2
