"timestamp","rtp_total_packet_count","rtp_interval_packets","rtp_total_packet_loss","rtp_interval_packet_loss","rtp_total_packet_out_of_order","rtp_interval_packets_out_of_order","jitter_buffer_delay"
"2014-06-30T21:49:02.579Z",629,274,0,0,0,0,6
"2014-06-30T21:49:06.510Z",826,197,0,0,0,0,5
"2014-06-30T21:49:13.329Z",1167,341,0,0,0,0,4
"2014-06-30T21:49:17.660Z",1383,216,0,0,0,0,1
"2014-06-30T21:49:23.071Z",1654,271,0,0,0,0,1
"2014-06-30T21:49:27.321Z",1866,212,0,0,0,0,1
"2014-06-30T21:49:30.442Z",2022,156,0,0,0,0,1
"2014-06-30T21:49:35.394Z",2270,248,0,0,0,0,1
"2014-06-30T21:49:39.644Z",2482,212,0,0,0,0,1
"2014-06-30T21:49:46.374Z",2819,337,0,0,0,0,1
"2014-06-30T21:49:50.174Z",3009,190,0,0,0,0,1
"2014-06-30T21:49:53.295Z",3165,156,0,0,0,0,1
"2014-06-30T21:49:59.124Z",3457,292,0,0,0,0,1
"2014-06-30T21:50:06.036Z",3802,345,0,0,0,0,1
"2014-06-30T21:50:08.559Z",3928,126,0,0,0,0,1
"2014-06-30T21:50:12.999Z",4150,222,0,0,0,0,1
"2014-06-30T21:50:15.681Z",4284,134,0,0,0,0,1
"2014-06-30T21:50:18.981Z",4449,165,0,0,0,0,1
