"timestamp","rtp_total_packet_count","rtp_interval_packets","rtp_total_packet_loss","rtp_interval_packet_loss","rtp_total_packet_out_of_order","rtp_interval_packets_out_of_order","jitter_buffer_delay"
"2014-08-14T16:28:48.020Z",1375,216,0,0,0,0,1
"2014-08-14T16:28:53.429Z",1646,271,0,0,0,0,1
"2014-08-14T16:28:57.683Z",1859,213,0,0,0,0,1
"2014-08-14T16:29:00.799Z",2014,155,0,0,0,0,1
"2014-08-14T16:29:05.749Z",2262,248,0,0,0,0,1
"2014-08-14T16:29:09.999Z",2475,213,0,0,0,0,1
"2014-08-14T16:29:16.730Z",2811,336,0,0,0,0,1
"2014-08-14T16:29:20.529Z",3001,190,0,0,0,0,1
"2014-08-14T16:29:23.651Z",3157,156,0,0,0,0,1
"2014-08-14T16:29:29.482Z",3449,292,0,0,0,0,1
"2014-08-14T16:29:36.392Z",3794,345,0,0,0,0,1
"2014-08-14T16:29:38.913Z",3920,126,0,0,0,0,1
