"timestamp","rtp_total_packet_count","rtp_interval_packets","rtp_total_packet_loss","rtp_interval_packet_loss","rtp_total_packet_out_of_order","rtp_interval_packets_out_of_order","jitter_buffer_delay"
"2014-08-19T19:46:56.199Z",334,161,0,0,0,0,6
"2014-08-19T19:47:01.690Z",608,274,0,0,0,0,6
"2014-08-19T19:47:05.620Z",805,197,0,0,0,0,5
"2014-08-19T19:47:12.439Z",1146,341,0,0,0,0,4
"2014-08-19T19:47:16.769Z",1362,216,0,0,0,0,1
"2014-08-19T19:47:22.181Z",1633,271,0,0,0,0,1
"2014-08-19T19:47:26.431Z",1845,212,0,0,0,0,1
"2014-08-19T19:47:29.550Z",2001,156,0,0,0,0,1
"2014-08-19T19:47:34.500Z",2249,248,0,0,0,0,1
"2014-08-19T19:47:38.750Z",2461,212,0,0,0,0,1
"2014-08-19T19:47:45.479Z",2798,337,0,0,0,0,1
"2014-08-19T19:47:49.279Z",2988,190,0,0,0,0,1
"2014-08-19T19:47:52.399Z",3144,156,0,0,0,0,1
"2014-08-19T19:47:58.228Z",3435,291,0,0,0,0,13
"2014-08-19T19:48:05.138Z",3781,346,0,0,0,0,13
"2014-08-19T19:48:07.659Z",3907,126,0,0,0,0,13
"2014-08-19T19:48:12.099Z",4129,222,0,0,0,0,12
"2014-08-19T19:48:14.778Z",4263,134,0,0,0,0,3
"2014-08-19T19:48:18.079Z",4428,165,0,0,0,0,3
"2014-08-19T19:48:21.278Z",4588,160,0,0,0,0,1
"2014-08-19T19:48:28.359Z",4942,354,0,0,0,0,1
"2014-08-19T19:48:34.898Z",5269,327,0,0,0,0,1
"2014-08-19T19:48:38.727Z",5460,191,0,0,0,0,1
"2014-08-19T19:48:41.548Z",5601,141,0,0,0,0,1
"2014-08-19T19:48:44.787Z",5763,162,0,0,0,0,1
"2014-08-19T19:48:52.167Z",6132,369,0,0,0,0,1
"2014-08-19T19:48:56.917Z",6370,238,0,0,0,0,1
"2014-08-19T19:49:03.228Z",6685,315,0,0,0,0,1
"2014-08-19T19:49:09.957Z",7022,337,0,0,0,0,1
"2014-08-19T19:49:16.317Z",7340,318,0,0,0,0,1
"2014-08-19T19:49:18.977Z",7473,133,0,0,0,0,1
"2014-08-19T19:49:26.406Z",7844,371,0,0,0,0,1
"2014-08-19T19:49:30.746Z",8061,217,0,0,0,0,1
"2014-08-19T19:49:34.823Z",8124,63,5,5,0,0,1
"2014-08-19T19:49:41.551Z",8305,181,20,15,0,0,141
"2014-08-19T19:49:47.700Z",8613,308,20,0,0,0,21
"2014-08-19T19:49:54.669Z",8961,348,20,0,0,0,21
"2014-08-19T19:49:58.129Z",9134,173,20,0,0,0,20
"2014-08-19T19:50:04.889Z",9472,338,20,0,0,0,20
"2014-08-19T19:50:09.297Z",9500,28,34,14,0,0,20
"2014-08-19T19:50:14.500Z",9517,17,51,17,0,0,6
"2014-08-19T19:50:20.465Z",9815,298,53,2,0,0,20
"2014-08-19T19:50:26.166Z",10100,285,53,0,0,0,20
"2014-08-19T19:50:31.965Z",10390,290,53,0,0,0,18
"2014-08-19T19:50:36.255Z",10605,215,53,0,0,0,18
"2014-08-19T19:50:41.354Z",10860,255,53,0,0,0,15
"2014-08-19T19:50:47.165Z",11150,290,53,0,0,0,3
"2014-08-19T19:50:53.384Z",11461,311,53,0,0,0,1
"2014-08-19T19:50:58.641Z",11724,263,53,0,0,0,1
"2014-08-19T19:51:05.231Z",12054,330,53,0,0,0,1
"2014-08-19T19:51:12.140Z",12399,345,53,0,0,0,1
"2014-08-19T19:51:16.969Z",12640,241,53,0,0,0,1
"2014-08-19T19:51:22.579Z",12921,281,53,0,0,0,1
"2014-08-19T19:51:25.798Z",13082,161,53,0,0,0,1
"2014-08-19T19:51:30.928Z",13338,256,53,0,0,0,1
"2014-08-19T19:51:37.267Z",13655,317,53,0,0,0,1
"2014-08-19T19:51:40.357Z",13810,155,53,0,0,0,1
"2014-08-19T19:51:47.727Z",14178,368,53,0,0,0,1
"2014-08-19T19:51:52.867Z",14435,257,53,0,0,0,1
"2014-08-19T19:52:00.168Z",14800,365,53,0,0,0,1
"2014-08-19T19:52:06.376Z",15111,311,53,0,0,0,1
"2014-08-19T19:52:11.667Z",15375,264,53,0,0,0,1
"2014-08-19T19:52:18.876Z",15736,361,53,0,0,0,1
"2014-08-19T19:52:21.905Z",15887,151,53,0,0,0,1
"2014-08-19T19:52:28.755Z",16230,343,53,0,0,0,1
"2014-08-19T19:52:35.184Z",16551,321,53,0,0,0,1
"2014-08-19T19:52:41.854Z",16885,334,53,0,0,0,1
"2014-08-19T19:52:48.162Z",17200,315,53,0,0,0,1
"2014-08-19T19:52:55.540Z",17569,369,53,0,0,0,1
"2014-08-19T19:53:01.456Z",17865,296,53,0,0,0,1
