"duration","rtp_packet_total","rtp_rate","rtp_loss_total","rtp_loss_rate","rtp_ooo_total","rtp_ooo_rate","rtp_jitter_snapshot","rtp_jitter_total","rtp_jitter","mos.R0","mos.Is","mos.Idd","mos.IeEff","mos.RFactor","mos.MOS","mos.MOS_corrected","std_dev_jitter_hour","std_dev_jitter_ten_min","std_dev_jitter_five_min","std_dev_jitter_min"
10004,-471,-47.08116753298681,0,0,0,0,25,163,13.583333333333334,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.745734851756979,7.8637831772363835,7.8643279637225,6.478688531839808
10002,1034,103.37932413517296,0,0,0,0,0,114,9.5,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.745734851756979,7.8637831772363835,7.8643279637225,6.478688531839808
10000,1088,108.8,0,0,0,0,0,93,7.75,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.745734851756979,7.8637831772363835,7.8643279637225,6.478688531839808
10004,267,26.689324270291884,0,0,0,0,0,89,7.416666666666667,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.745734851756979,7.8637831772363835,7.8643279637225,6.478688531839808
10009,266,26.576081526626037,0,0,0,0,0,72,6,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.745734851756979,7.8637831772363835,7.8643279637225,6.478688531839808
10004,298,29.78808476609356,0,0,0,0,13,93,7.75,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.745734851756979,7.8637831772363835,7.8643279637225,6.478688531839808
10004,693,69.27229108356657,0,0,0,0,21,125,10.416666666666666,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.745734851756979,7.8637831772363835,7.8643279637225,6.478688531839808
10003,394,39.38818354493652,0,0,0,0,28,149,12.416666666666666,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.745734851756979,7.8637831772363835,7.8643279637225,6.478688531839808
10003,428,42.78716385084474,0,0,0,0,17,138,11.5,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.763121298422648,7.836846831320345,7.72399806319544,7.306602797774385
10005,130,12.993503248375811,0,0,0,0,0,110,9.166666666666666,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.763121298422648,7.836846831320345,7.72399806319544,7.306602797774385
10007,-1107,-110.62256420505646,0,0,0,0,0,134,11.166666666666666,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.763121298422648,7.836846831320345,7.72399806319544,7.306602797774385
10002,-547,-54.68906218756249,0,0,0,0,28,115,9.583333333333334,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.763121298422648,7.836846831320345,7.72399806319544,7.306602797774385
10002,428,42.79144171165767,0,0,0,0,17,119,9.916666666666666,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.763121298422648,7.836846831320345,7.72399806319544,7.306602797774385
10004,695,69.47221111555378,0,0,0,0,0,117,9.75,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.763121298422648,7.836846831320345,7.72399806319544,7.306602797774385
10003,-504,-50.38488453463961,0,0,0,0,25,152,12.666666666666666,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.763121298422648,7.836846831320345,7.72399806319544,7.306602797774385
10005,-1223,-122.23888055972014,0,0,0,0,0,101,8.416666666666666,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.763121298422648,7.836846831320345,7.72399806319544,7.306602797774385
10006,-351,-35.07895262842295,0,0,0,0,0,115,9.583333333333334,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.763121298422648,7.836846831320345,7.72399806319544,7.306602797774385
10000,736,73.6,0,0,0,0,0,98,8.166666666666666,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.763121298422648,7.836846831320345,7.72399806319544,7.306602797774385
10001,-411,-41.0958904109589,0,0,0,0,21,100,8.333333333333334,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.763121298422648,7.836846831320345,7.72399806319544,7.306602797774385
10005,696,69.56521739130434,0,0,0,0,13,92,7.666666666666667,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.763121298422648,7.836846831320345,7.72399806319544,7.306602797774385
10005,1,0.09995002498750626,0,0,0,0,13,98,8.166666666666666,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.774215904868719,7.787957050269032,7.5500812991289585,7.9565952145001955
10019,-266,-26.5495558438966,0,0,0,0,13,135,11.25,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.774215904868719,7.787957050269032,7.5500812991289585,7.9565952145001955
10020,-487,-48.60279441117765,0,0,0,0,0,148,12.333333333333334,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.774215904868719,7.787957050269032,7.5500812991289585,7.9565952145001955
10004,-470,-46.9812075169932,0,0,0,0,0,106,8.833333333333334,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.774215904868719,7.787957050269032,7.5500812991289585,7.9565952145001955
10017,319,31.84586203454128,0,0,0,0,25,122,10.166666666666666,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.774215904868719,7.787957050269032,7.5500812991289585,7.9565952145001955
10002,17,1.6996600679864027,0,0,0,0,21,112,9.333333333333334,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.774215904868719,7.787957050269032,7.5500812991289585,7.9565952145001955
10004,-1353,-135.24590163934428,0,0,0,0,9,64,5.333333333333333,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.774215904868719,7.787957050269032,7.5500812991289585,7.9565952145001955
10005,-266,-26.58670664667666,0,0,0,0,13,73,6.083333333333333,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.774215904868719,7.787957050269032,7.5500812991289585,7.9565952145001955
9987,-709,-70.99228997697006,0,0,0,0,25,99,8.25,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.774215904868719,7.787957050269032,7.5500812991289585,7.9565952145001955
10004,898,89.76409436225511,0,0,0,0,9,114,9.5,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.774215904868719,7.787957050269032,7.5500812991289585,7.9565952145001955
10006,-1116,-111.53308015190885,0,0,0,0,0,88,7.333333333333333,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.774215904868719,7.787957050269032,7.5500812991289585,7.9565952145001955
10007,0,0,0,null,0,null,17,115,9.583333333333334,94.768,1.42611,0,0,93.34189,4.412015507901125,4.412015507901125,7.774215904868719,7.787957050269032,7.5500812991289585,7.9565952145001955
10002,267,26.69466106778644,0,0,0,0,0,93,7.75,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.779157933474553,7.741130520952634,7.54512760570819,7.631554559852141
10008,297,29.676258992805757,0,0,0,0,0,121,10.083333333333334,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.779157933474553,7.741130520952634,7.54512760570819,7.631554559852141
10010,-564,-56.34365634365635,0,0,0,0,25,157,13.083333333333334,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.779157933474553,7.741130520952634,7.54512760570819,7.631554559852141
10000,-351,-35.1,0,0,0,0,0,151,12.583333333333334,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.779157933474553,7.741130520952634,7.54512760570819,7.631554559852141
10002,1088,108.77824435112977,0,0,0,0,0,89,7.416666666666667,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.779157933474553,7.741130520952634,7.54512760570819,7.631554559852141
10004,-1233,-123.25069972011197,0,0,0,0,21,64,5.333333333333333,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.779157933474553,7.741130520952634,7.54512760570819,7.631554559852141
10002,-104,-10.397920415916817,0,0,0,0,25,110,9.166666666666666,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.779157933474553,7.741130520952634,7.54512760570819,7.631554559852141
10000,-471,-47.1,0,0,0,0,25,138,11.5,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.779157933474553,7.741130520952634,7.54512760570819,7.631554559852141
10001,-470,-46.995300469953,0,0,0,0,0,112,9.333333333333334,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.779157933474553,7.741130520952634,7.54512760570819,7.631554559852141
10001,-470,-46.995300469953,0,0,0,0,0,50,4.166666666666667,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.779157933474553,7.741130520952634,7.54512760570819,7.631554559852141
10002,-412,-41.19176164767047,0,0,0,0,9,86,7.166666666666667,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.779157933474553,7.741130520952634,7.54512760570819,7.631554559852141
10006,-60,-5.996402158704777,0,0,0,0,21,82,6.833333333333333,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.779157933474553,7.741130520952634,7.54512760570819,7.631554559852141
10006,0,0,0,null,0,null,0,94,7.833333333333333,94.768,1.42611,0,0,93.34189,4.412015507901125,4.412015507901125,7.7992424320473255,7.761119569346741,7.530961186255634,7.715073179605405
10000,-1088,-108.8,0,0,0,0,21,159,13.25,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.7992424320473255,7.761119569346741,7.530961186255634,7.715073179605405
10009,-400,-39.96403237086622,0,0,0,0,0,133,11.083333333333334,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.7992424320473255,7.761119569346741,7.530961186255634,7.715073179605405
10020,11,1.0978043912175648,0,0,0,0,0,135,11.25,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.7992424320473255,7.761119569346741,7.530961186255634,7.715073179605405
10002,-753,-75.28494301139773,0,0,0,0,0,60,5,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.7992424320473255,7.761119569346741,7.530961186255634,7.715073179605405
9999,-207,-20.702070207020704,0,0,0,0,0,47,3.9166666666666665,94.768,1.42611,0,0,93.34189,4.412015507901125,4.05479924977604,7.7992424320473255,7.761119569346741,7.530961186255634,7.715073179605405
